SpeciesName,AntherSize,CalyxSize,CorollaSize,DiskFloretSize,FlowerSize,FruitSize,Glumes,InflorescenceSize,LeafSize,Lemma,LobesSize,Lodicules,OvarySize,Palea,PappusSize,PedicelSize,PetalSize,PetioleSize,RayFloretsSize,SeedSize,SepalSize,StamenSize,Stature,StigmaSize,StyleSize,TubeSize,UtricleSize
veronica-hulkeana,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-jovellanoides,0.8-1.0mm,3.5-6.0mm,10-12mm,,,3.5-5.5mm; 2-3mm,,40-80mm,4.5-12mm,,6.5-7.0mm; 3.5-4.0mm,,0.6-0.8mm,,,7-12mm,,2-10mm,,1.0-1.4mm,,5.0-5.5mm,2-3m; 2m; 50mm,0.6-0.8mm,4.0-4.5mm; 3.5-4.0mm,0.8-1.2mm,
veronica-kellowiae,1-1.2mm; 0.7mm,2.5-4mm,,,2.8-3.5x1.4-1.5mm; 3x1.5mm,3.7-4x1.8-2mm,,,3.3-7.5x2-5.5mm,,,,2mm,,,,,,,0.7-0.8x0.5-0.6mm; 0.1-0.3mm,,0.5-1mm,0.15m,,2-3.5mm,,
veronica-lanceolata,0.8-1.5mm,2-4mm,8-15mm,,,2.5-4.5x2.5-4.0mm; 2.5-3.5mm,,30-350mm,5.0-100.0x1.5-25.0mm,,,,0.8-1.0mm,,,5-25mm,,1-6mm,,0.5-1.1x0.5-0.9mm,,2-4mm,450mm,,3.5-7.0mm,0.5-1.5x1mm,
veronica-lavaudiana,,4-5mm,11-13mm,,,,,20-40mm,12-25x8-17mm,,,,,,,,,2-5mm,,2-2.5x0.7-1mm,,,100-300mm,,,1.5-2mm; 1.7-2mm; 2.5mm,
veronica-leiophylla,1.8-2.1mm,1.5-2.5mm,,,,2.7-4.5x2.3-3mm,,3.5-16.5cm,15-40x4-8mm,,,,0.8-1.2mm,,,1.5-3mm,,0-2mm,,1.2-1.7x1-1.4mm; 0.2-0.4mm,,5.5-7.5mm,3m,,4.7-7mm,2-3x1.7-2.5mm,
veronica-ligustrifolia,1.7-2.5mm,2-3mm,,,,2.5-4x1.7-3mm,,3-8cm,26-50x6-10mm,,,,0.75-1mm,,,1-2.5mm,,,,0.9-1.5x0.7-1.1mm; 0.2-0.4mm,,5-6.5mm,2.5m,,4-6mm,1.6-3x1.8-2.2mm,
veronica-lilliputiana,0.7-1.5mm,2.0-3.5mm,10mm,,,1.0-1.5x1.0-2.0mm; 0.5mm,,3-12mm,1-3x1-2mm,,3-6x2-3mm; 3.0-6.0x2.0-2.5mm,,0.8-1.0mm,,,2-7mm,,0.0-0.5mm,,0.3mm,,3.0-6.0x2.0-3.0mm; 4-5mm,3-10mm,0.5mm,4.0-5.5mm,1mm; 1.0-1.5mm,
veronica-linifolia,1.5-2.2mm,4-7mm,12-17mm,,,3.0-4.5x3.5-4.5mm,,30-70mm,10.0-30.0x1.5-3.5mm,,,,1.0-1.7mm,,,8-40mm,,1.5-4.0mm,,0.7-1.3x0.5-0.9mm,,4-8mm,300mm,,4-9mm,0.5-1.5x1.0-1.5mm,
veronica-lyallii,1.0-1.5mm,2-4mm,8-15mm,,,3-5x3-4mm,,50-200mm,3-15x2-10mm,,,,1.0-1.3mm,,,8-25mm,,1-3mm,,0.6-0.8x0.5-0.6mm,,2.5-4.0mm,300mm,,3.5-4.5mm,1.5-2.0x1.0-1.5mm,
veronica-lycopodioides,1-1.3mm,2.8-3.5mm,,,,2.2-3.4x1.8-2.4mm,,0.5-1.6cm,2.3-3.3mm,,,,0.7-0.8mm,,,,,,,0.7mm; 0.2mm,,2.5-3.6mm,1m,,2.5-7mm,2.5-3.2x1.1-1.3mm,
veronica-maccaskillii,,,,,,,,,4-9x2-5mm,,,,,,,,,1-2mm,,1.2-1.6x0.6-0.7mm,,,50-300mm,,6-7mm,3-3.5mm,
veronica-macrantha,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-macrocalyx,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-macrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-masoniae,1.8-2.6mm,5.5-7mm,,,,4mm,,0.8-1.8cm,6-9x4-8mm,,,,1-1.4mm,,,,,1-1.5mm,,1.5-2.1x1-1.4mm; 0.3-0.5mm,,3-4.2mm,0.5m,,7-9mm,1.5-2mm,
veronica-mooreae,,3.3-4.5mm,,,,3.5-4.5x2-2.8mm,,0.8-2.9cm,14-18x4-6mm,,,,1-1.3mm,,,0-1mm,,1-3mm,,1.2-1.8x0.9-1.2mm; 0.4mm,,3-4mm,1.2m,,5.5-8.5mm,4x2.4-2.6mm,
veronica-murrellii,2mm; 1mm,,,,,3.5-4.0x3.0mm; 1mm,,10-30mm,3.5-9.0x2.0-5.0mm,,2.5-3.0x1.0-1.5mm; 2.5-3.0x1.5-2.5mm,,1.0x0.7mm,,,0.5-2.0mm,,,,0.9-1.1x0.6-0.8mm,,,200mm,,1-5mm,1.5-2.0x1.5-2.0mm,
veronica-notialis,,4-6mm,,,,4.5-5mm; 1.5-2mm; 4mm,,0.6-1.35cm,,,,,1mm,,,1mm,,3-5x3-4mm; 1-1.5mm,,1-1.5x0.8-1.2mm,,2mm,0.2m,,1.8-3mm,3x1mm,
veronica-obtusata,1.5-2.2mm,2.5-3.5mm,,,,3.7-4.5x2-2.3mm,,3.8-12.6cm,,,,,0.8-1mm,,,1-3.3mm,,,,0.9-1.3x0.7-0.9mm; 0.2mm,,4.7-7.5mm,0.5m,,5-7mm,2.3-4x1.7-2mm,
veronica-ochracea,1.3-1.4mm,2-2.4mm,,,,1.7-2.6x1.7-2.5mm,,0.3-0.85cm,1.4-3.4mm,,,,0.6-0.7mm,,,,,,,,,2.8-3.5mm,0.4m,,3-4.5mm,1.2-1.4x1.5-1.6mm,
veronica-odora,1.9-2.4mm,3.5-5mm,,,,3.4-3.6mm,,1-2.8cm,4.5-11.5x2.3-5.4mm,,,,0.7-1.2mm,,,,,0.5-1.5mm,,1.2-1.8x0.9-1.3mm; 0.3-0.6mm,,2-3.2mm,0.9m,,5.5-7mm,1.5mm,
veronica-pareora,,,,,,3.5-5.0x2.5-3.5mm; 1.5-2.8mm,,,15-30x10-18mm,,2mm,,,,,2-5mm,,,,,,,1-3m; 0.5m,,,,
veronica-parviflora,1.5-2.2mm; 1mm,1.5-2.3mm,,,2.1-3.8x1.4-3mm,2.5-3.5x1.4-2.5mm,,4-10cm,25-60x1.5-7mm,,,,0.8-1mm,,,0.5-3.5mm,,,,0.9-1.8x0.8-1.4mm; 0.1mm,,3-5mm,7.5m,,3.5-6mm,,
veronica-pauciramosa,1.4-1.7mm,3.5-4.5mm,,,,4-5.5x2.5-3.5mm,,0.7-1.7cm,3.5-7x3.5-6mm,,,,1-1.4mm,,,,,1-1.5mm,,1.1-1.8x0.8-1.1mm; 0.3-0.5mm,,3.7-5.5mm,0.5m,,3.8-8mm,3.7-5x1.3-1.7mm,
veronica-pentasepala,,2.5-3.5mm,7-8mm,,,3.5-4.0x2.5mm; 2mm,,2-7cm,10-30x4-8mm,,,,0.8-1.2x0.8-0.9mm; 0.5-0.6mm,,,,,2-5mm,,1.5-2.5x0.8-1.0mm,,,0.1-0.3m,0.2-0.3mm,5-7mm; 0.25mm,2.0-2.5mm; 1.0-1.5mm; 2.0-2.5mm,
veronica-perbella,2.0-2.8mm,2.6-3.3mm,,,,40-100mm; 7-8x5-6mm,,60-100mm,87-110x10-14mm,,5.0-6.5x2.5-3.0mm,,1.0x0.6mm,,,2-5mm,,,,1.8x2.0mm,,7-10mm,1m; 1.8m,,8-10mm,1.8-2.2x1.8-2.8mm,
veronica-petriei,0.9-1.5mm,4-5mm,,,5-5.5x1.5-2mm,4-4.5x1.7-2.3mm,,0.8-2.5cm,5-7.5x2.5-5mm,,,,2-2.5mm,,,0.5-2.5mm,,1-2.5mm,,0.7-1.1x0.6-0.9mm; 0.2-0.3mm,,1.3-1.7mm,0.3m,,3-6mm,,
veronica-phormiiphila,1.7-2.2mm,2-3mm,,,,3-4x2-2.5mm,,9.3-19cm,30-86x5.5-11mm,,2.3-3.5x1.9-2.1mm,,0.8-1.1mm,,,2-4mm,,2-3mm,,0.8-1.3x0.7-1.1mm; 0.2-0.3mm,,6.5-8.5mm,5m,,7-7.5mm,,
veronica-pimeleoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-pinguifolia,2.1-2.3mm; 1.4-1.6mm,2.7-3.2mm,,,1-1.5mm; 1.5-1.8mm,3-4.5x2.5-3.2mm,,1-2.8cm,7-16x4-9mm,,,,0.5-1.1mm,,,0-0.8mm,,,,0.9-1.7x0.6-1.1mm; 0.3-0.6mm,,4.5-5mm,0.4m,,5-7.5mm,,
veronica-planopetiolata,1mm,3.5-7.0mm,7-9mm,,,3.0-4.0x4.0-4.5mm,,5-8mm,2-10x1-6mm,,,,1mm,,,1-7mm,,1-5mm,,0.8-1.0x0.5-0.6mm,,1.5-2.5mm,50mm,,2.5-3.5mm,2.0-4.0x1.0-1.5mm,
veronica-plebeia,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-poppelwellii,1-1.6mm,2.2-3mm,,,,2-2.5x1-2mm,,0.3-1.3cm,2-3.2mm,,,,0.5-1.3mm,,,,,,,,,2.5-4.5mm,0.8m,,3.6-5mm,1.7-2.5x1-1.6mm,
veronica-propinqua,,1.5-2.5mm,,,,2.5-2.9x2.1-2.2mm,,0.3-0.9cm,1.6-2.4mm,,,,0.6-1.1mm,,,,,,,0.6-1x0.5-0.7mm; 0.1-0.2mm,,3.5-4.5mm,1m,,2.7-5.8mm,1.5-2.1x1.5-2.1mm,
veronica-pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-pulvinaris,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-punicea,0.9-1.6mm,1.9-4mm,,,,4.5-8.5x4-5mm,,20-100mm,16-75x6-25mm,,,,0.9-1.5mm,,,1-7mm,,,,1.7-2.4x1.2-1.8mm,,5.5-10.5mm,1.5x0.7m,,7.5-11.8mm,,
veronica-quadrifaria,1-1.1mm; 0.5mm,1.3-2.2mm,,,1-1.1mm; 1mm,1.6-2.2mm; 1.3-2mm,,0.3-0.5cm,1.5-2.4mm,,,,0.4-0.6mm,,,0-0.5mm,,,,1-1.2x0.5-0.7mm; 0.2-0.3mm,,1.1-1.4mm; 1.1mm,0.3m,,1.5-2.2mm,,
veronica-rakaiensis,1.2-1.4mm; 0.9-1mm,1.5-2mm,,,0.4-1.4mm,1.9-2.1mm,,1.7-4.5cm; 0.47-0.87cm,8-20x4.8-7mm,,,,0.6-0.8mm,,,1-2mm,,,,0.8-1.6x0.7-1mm; 0.2-0.4mm,,1.7-2.5mm; 1.7-2mm,2m,,3-4mm,,
veronica-raoulii,,,,,,,,,7-17x2-6mm,,,,,,,,,2-5mm,,1.5-2.0x0.6-1.2mm,,,0.07-0.3m,0.2-0.25mm,4-6mm,1.5-2.0mm,
veronica-rigidula,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-rivalis,1.9-2.2mm,2-3.5mm,,,,2-3.5x1.6-3mm,,27-135mm,15-118x3-12mm,,,,0.9-1.2mm,,,0.5-5mm,,,,0.9-1.4x0.9-1.1mm,,4-6.5mm,1-1.5m,,3.5-5.5mm,1.3-2.8x1.6-01.8mm,
veronica-rupicola,1.3-1.7mm; 0.6-0.8mm,3-4mm,,,3-4.9x1.5-2.3mm,4-4.5x2.3-3.2mm,,1.3-3cm,7-21x5-7mm,,,,1-1.3mm,,,0-1mm,,2-4mm,,1.4-2.2x0.9-1.4mm; 0.5-0.7mm,,3.3-4.2mm,0.8m,,5.5-8.3mm,,
veronica-salicifolia,1.5-1.9mm,1.5-3mm,,,,2.5-3.5x2.5-3mm,,7-18cm,60-106x11-18mm,,,,0.9-1.1mm,,,1.3-3mm,,2-4mm,,,,5-8.5mm,2.5m,,4-6mm,2.5-3.2x1.6-1.8mm,
veronica-salicornioides,,2-3mm,,,,4.5-5x2-2.5mm,,,1mm,,3-5mm,,,,,,,,,,,,1x1m,,,2-3mm,
veronica-saxicola,0.8-1.0mm,,,,,3.5-4.3x3.2-3.9mm,,20-100mm,20-67x12-30mm,,3.80-4.50x2.8-4.15mm,,1.0x0.8mm,,,2.0-3.5mm,,,,1.4-1.8x1.3-2.0mm,,8-14mm,0.2-0.8x0.4-1.0m,,8-12mm,1.0-1.5x0.8-1.2mm; 5.0-6.3x4.0-5.0mm,
veronica-scopulorum,,2.3-3.5mm,,,,3.2-4.5x2-3mm,,1-5mm,14-80x4-16mm,,,,,,,,,2-8mm,,,,,0.4-0.8x0.4-0.8m,,,3-4x1.5-2mm,
veronica-scrupea,,,,,1-2cm; 5-8mm,,,,5-15mm; 2-6mm,,,,,,,,,,,2-2.5mm; 1-1.5mm,,,50-200mm,,,,
veronica-senex,1mm,4-5mm,10-12mm,,,2.0-4.0x2.5-3.5mm,,100-250mm,20-80x10-25mm,,5x5mm; 4.0-5.0x3.0-3.5mm,,1.0-1.5mm,,,8-21mm,,3-7mm,,0.5-0.8x0.6mm,,4.5-5.0x6.0-6.5mm; 4mm,350-500mm,,3.0-4.5mm,1.0-2.0x1.0-1.5mm,
veronica-simulans,,,,,,,,9-31mm,6.4-19.6x3.5-7.9mm,,,,,,,,,1.0-2.5mm,,,,,1m,,,,
veronica-societatis,,2-3.5mm,,,,3.7-5x2.4-3.2mm,,15-35mm,9-24x4-8.5mm,,,,,,,,,1-2mm,,,,,300mm,,,2-2.5x1.5mm,
veronica-spathulata,0.8-1.0mm,3-6mm,6-8mm,,,3.0-4.0x3.0-4.5mm; 1.5-2.0mm,,7-45mm,2.0-12.0x1.5-12.0mm,,3.5-4.0x3.5-4.0mm; 3.5-4.0x1.5-2.0mm,,1.0-1.5mm,,,1-4mm,,1-11mm,,1.0-1.5x1.0-1.5mm,,3.0-4.0x3.5-4.5mm; 2-3mm,100mm,,1.5-2.0mm,3.0-4.0x1.5-2.0mm,
veronica-speciosa,,5-6mm,,,,6x4mm,,30-80x30-40mm,50-200x25-80mm,,2-3mm; 4-5x3-5mm,,,,,2-8mm,,5-20mm,,,,,2x3m,,,,
veronica-spectabilis,1.2-1.5mm,6.5-10.0mm,18-25mm,,,4-5x4-5mm; 1-2mm,,,4.5-13.0x2.5-6.0mm; 2.5-5mm,,10-12x10-12mm; 9-12x10-12mm,,2-2.5mm,,,,,,,0.9-1.0x0.5-0.7mm,,10-13x8-11mm; 3-4mm,,0.4-0.6mm,3.5-4.5mm,2.5-4.5mm; 1.5-2.0mm,
veronica-stenophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-stricta,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-strictissima,1.2-1.8mm,1.5-2mm,,,1.4-2.9x1.3-1.7mm; 1.3-1.8mm,2.2-2.6mm,,1.7-7.7cm,16-41x3-7mm,,,,0.9-1.3mm,,,1-4mm,,,,1-1.6x0.9-1.3mm; 0.1-0.4mm,,3-5mm,2.5m,,2.3-6mm,,
veronica-subalpina,1.8-2.3mm; 0.7-1.1mm,1.7-3.4mm,,,1.7-1.8mm; 1-2.2x1.7-2.1mm,3-4.2x2.4-2.9mm,,1.9-6cm,,,,,0.8-1.2mm,,,0.8-4-5.5mm,,,,1.2-2x0.9-1.4mm; 0.4-0.8mm,,3-6mm; 0.7-1mm,1.4m,,2-9.5mm,,
veronica-subfulvida,1.6-2.6mm,1.9-3.4mm,,,,2.9-4.5x1.9-3.2mm,,1-3.6cm,,,,,1.1-1.5mm,,,0.5-2mm,,1.5-3.5mm,,1.2-2x0.8-1.4mm; 0.3-0.5mm,,3.5-5.5mm,1.8m,,4.5-8.5mm,2.5-4.3x1.2-2.6mm,
veronica-tairawhiti,2-2.3mm,2-2.5mm,,,,2.7-5.2x1.8-2.6mm,,68-150mm,45-150x5-11mm,,,,1-1.2mm,,,1.3-2mm,,,,0.8-1.2x0.5-1mm,,3-5mm,3x2m,,3.5-4mm,3-3.5x1.5-1.8mm,
veronica-tetragona,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-tetrasticha,1-1.2mm; 0.5mm,1.3-2mm,,,1.5mm; 1mm,2-3mm; 1.5-2.5mm,,0.3-0.7cm,2-3.5mm,,,,0.5-0.6mm,,,0-0.7mm,,,,0.8-1x0.5-0.7mm; 0.1-0.3mm,,0.7-1.5mm; 1.5mm,0.2m,,0.8-1.5mm,,
veronica-thomsonii,0.43-1.22x0.40-0.87mm,1.95-4.21mm; 1.94-3.50mm; 0.51-1.62mm,1.99-5.02x0.95-3.58mm,,,1.49-2.79x1.08-2.06mm; 0.73-1.63mm,,,1.74-4.67x0.75-2.55mm; 0.4-1.2mm,,1.56-2.76x0.38-0.96mm; 0.3-0.8mm; 0.95-1.77x0.65-1.43mm,,0.43-1.19x0.38-1.26mm; 0.1-0.4mm,,,,,,,0.33-0.86x0.26-1.04mm,,0.22-0.47mm,,0.09-0.23mm,2.82-4.59mm; 1-2mm,,
veronica-topiaria,1.25-1.5mm,1.5-2.8mm,,,1.5-2.5mm; 2mm,4-5x2.5-3.5mm,,1-3cm,8-21x3.5-8mm,,,,1.2-1.5mm,,,0.5-2.5mm,,,,1.2-2x0.9-1.3mm; 0.2-0.5mm,,2.5-4.5mm,1.2m,,3.5-6.5mm,,
veronica-townsonii,1.7-2.1mm,3.5-5.8mm,1-1.5mm; 2.5mm,,1-2.5mm,3.5-5.5x3-4mm,,8-12cm; 0.5-3cm,29-80x5-8mm,,,,1mm,,,2-8mm,,2-5mm,,1-1.4x0.9-1.3mm; 0.2-0.5mm,,4.5-6mm,2.5m,,4.5-7mm,,
veronica-traversii,1.5-1.6mm; 0.8-1.4mm,1.8-2.2mm,,,3-4.5mm; 1.3-1.6mm,4-5x2-4mm,,3-5cm,16-39x3-8mm,,,,0.9-1.1mm,,,1.2-3mm,,,,1.5-2.2x1-1.5mm; 0.3-0.6mm,,2.5-3.3mm,2.5m,,4-7mm,,
veronica-treadwellii,0.9-1.2mm,2.1-3.3mm,,,1.9-3.5x1.3-2mm; 1.3-1.8x1.5-1.7mm,2.9-5x1.6-3mm,,1.5-3.1cm,2mm,,,,,,,0-2.5mm,,,,0.9-1.5x0.8-1.1mm; 0.3-0.6mm,,1.5-4.5mm,0.3m,,3.5-10.5mm,,
veronica-trifida,1.0-1.5mm,5-8mm,15-20mm,,,4.5-6.0x2.5-3.0mm,,15-25mm,2-10x1-7mm,,8-10x4-7mm; 8-10x3-6mm,,2.0-2.5mm,,,0.5-7.0mm,,1-2mm,,0.5-0.8x0.4-0.6mm,,8-10x4-7mm; 3-4mm,50-200mm,0.3-0.5mm,3-4mm,1.5-3.0mm; 1.5-2.0mm,
veronica-truncatula,1.8-2.1mm,2-3mm,,,1.7-2.2mm,3-4x2-3mm,,,18-42x5.2-8.5mm,,,,1.2-1.5mm,,,0.8-1.8mm,,,,,,4.5-5.5mm,2m,,5-7mm,,
veronica-tumida,1.1-1.3mm,2-2.5mm,,,1.5mm,1.5-3.2mm; 1.3-2.7mm,,0.2-0.9cm,1.3-2.5mm,,,,,,,0-1mm,,,,0.8-1.1x0.7-1.2mm; 0.1-0.3mm,,1-1.2mm,0.2m,,1-4mm,,
veronica-urvilleana,1.7-2mm,2.2-2.9mm,,,1.8-2.2x1.8-2.2mm,4-5.3x2.2-3mm,,1-3.1cm,,,,,1-1.3mm,,,2-3mm,,,,,,3.7-4.7mm,1.5m,,5-8mm,,
veronica-venustula,2.1-2.6mm,2.3-2.8mm,,,,3.5-5x2.3-3.5mm,,1.4-5cm,8-20x5-8mm,,,,0.9-1.3mm,,,0.5-3mm,,1-3mm,,1.5-2.2x1-1.3mm; 0.3-0.6mm,,4-7mm,1.4m,,6.5-8mm,3-4.2x2-2.6mm,
veronica-vernicosa,1.25-1.75mm,1.4-1.8mm,,,,2.8-4.2x1.6-2.5mm,,2.5-5cm,5-20x3.5-7.5mm,,,,0.7-1.4mm,,,0-3.5mm,,,,1.3-1.5x0.9-1.1mm; 0.3-0.5mm,,3-5mm,0.8m,,2.7-5.5mm,0.6-1.5x0.8-1.3mm,
veronica-zygantha,1.0-1.5mm,4-8mm,5-6mm,,,4-5x3.5-5.0mm; 1.5-2mm,,8-15mm,3-10x2-9mm,,,,1-2mm,,,1-3mm,,3-5mm,,1.0-1.3x0.6-0.7mm,,0.5-2.0mm,150mm,,0.5-3.0mm,1.5-3.0x1.5-2.0mm,
achnatherum-petriei,2.7mm,,,,,,7mm; 0.5mm,250mm,30mm; 300x0.8mm,5.0mm,1mm,1mm,,,,,,,,2.5-3.5mm,,,,,,,
agrostis-dyeri,,,,,,,,,,,,,,,,,,,,,,,,,,,
agrostis-imbecilla,0.6-1mm,,,,,,,50-90x2-3mm,20-130x0.2-0.4mm,1.5-1.9mm; 1mm,,,,0.1-0.2mm,,,,,,,,,150-350mm,,,,
agrostis-magellanica,,,,,,,,,,,,,,,,,,,,,,,,,,,
agrostis-muelleriana,,,,,,,,,,,,,,,,,,,,,,,,,,,
agrostis-muscosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
agrostis-oresbia,0.4-0.9mm,,,,,,,20-60mm,20-70x1.5-2mm,1.5-2mm,,,,,,,,,,,,,,,,,
agrostis-pallescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
agrostis-personata,,,,,,,,,,,,,,,,,,,,,,,,,,,
agrostis-petriei,,,,,,,,,,,,,,,,,,,,,,,150-550mm,,,,
agrostis-subulata,0.4-0.7mm,,,,,,,10-20mm,15.0-40.0x0.3-0.6mm,1.3-1.6mm; 2mm,,0.4mm,,0.3-0.4mm,,,,,,1.0x0.5mm,,,30-90mm,,,,
amphibromus-fluitans,,,,,,,,65-13mm,50-125x0.6-3mm,4-5.5mm,,,,,,,,,,1.5-2x0.5-0.7mm,,,70-400x150mm; 400mm,,,,
anemanthele-lessoniana,0.8-1.4mm,,,,,,2.5-3.5mm,600mm,150mm; 450x6mm,2mm; 8mm,,,,,,,,,,,,,,,,,
anthosachne-aprica,4-9mm,,,,,,5-10mm,180-250mm,70-100mm; 200-300x2-4mm; 1mm; 1mm,10-14mm; 22-45mm,,,,6-13mm,,,,,,,,,,,,,
anthosachne-falcis,2.5mm,,,,,,4-9mm,20-100mm,20-50mm; 50-150x0.5-0.7mm; 0.5-1mm; 0.5mm,30-50mm,,,,7-10mm,,,,,,,,,,,,,
anthosachne-kingiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthosachne-sacandros,3.8-5.5mm,,,,,,3mm,50-200mm,30-120mm; 100-800x0.5-0.7mm; 1mm,25-60mm,,,,10-11.5mm; 2-3mm,,,,,,,,,,,,,
anthosachne-solandri,3-5mm,,,,,,3-11mm; 5-12mm,80-200mm,50mm; 210x2-4mm,35-75mm,,,,9-12mm,,,,,,,,,,,,,
australopyrum-calcis,,,,,,,,,,,,,,,,,,,,,,,,,,,
austroderia-fulvida,3.8mm; 2mm,,,,,,15mm,,1-2mx2cm,1mm,,,0.6mm; 0.8mm,4.5mm,,,,,,1.5-2mm,,,3.5m; 3.5m; 1m,1.8mm; 2.5mm,1.8mm; 2.5mm,,
austroderia-richardii,4.5mm; 3mm,,,,,,,,2-3x0.25m; 5mm,10mm,,,1mm; 1.3mm,6mm,,,,,,3-4mm,,,3m; 3m; 1m,2.5mm; 4mm,2.5mm; 4mm,,
austroderia-splendens,6mm; 4mm,,,,,,40mm,,2-3x0.3-0.5m,11mm,,,0.7mm; 1mm,9mm,,,,,,4-5mm,,,6m; 6m; 1m,2mm; 4mm,2mm; 4mm,,
austroderia-toetoe,4.8mm; 2.8mm,,,,,,25mm,,2mx3cm,10mm,,,1mm; 1.3mm,6.5mm,,,,,,2.5-3mm,,,4m; 4m; 1m,1.8mm; 3.5mm,1.8mm; 3.5mm,,
austrostipa-stipoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromus-arenarius,0.8-1.5mm,,,,,,,70-260mm,70-300x1.7-5mm,11-14mm,14-20mm; 2mm,,,,,,,,,,,,200-860mm,,,,
chionochloa-acicularis,4mm,,,,,,,100mm,120mm; 3mm; 7mm; 500x1mm,5mm,4mm,1mm,0.8mm,7mm,,,,,,3mm,,,,2mm,2mm,,
chionochloa-antarctica,3.5mm,,,,,,,150mm,200mm; 0x6mm,8mm,7mm; 3mm,0.75mm,0.75mm,10mm,,,,,,2.5mm,,,,4mm,4mm,,
chionochloa-australis,4mm,,,,,,14mm,50mm,70mm; 7mm; 0.25mm; 100.0x0.8mm,5mm,7mm; 4mm,1mm,0.8mm,7mm,,,,,,3mm,,,,3mm,3mm,,
chionochloa-beddiei,4.5mm,,,,,,13mm,150mm,150mm; 2mm; 600x4mm,6mm,11mm; 8mm,1.75mm,1mm,8.5mm,,,,,,3mm,,,,4mm,4mm,,
chionochloa-bromoides,5.5mm; 3mm,,,,,,,200mm,150mm; 4mm; 500x10mm,9mm,5mm; 3mm,1.75mm,1.5mm; 5mm; 1.5mm,10mm,,,,,,3.5mm,,,,3.5mm,3.5mm,,
chionochloa-cheesemanii,,,,,,,,,,,,,,,,,,,,,,,,,,,
chionochloa-conspicua,,,,,,,,,,,,,,,,,,,,,,,,,,,
chionochloa-crassiuscula,,,,,,,,,,,,,,,,,,,,,,,,,,,
chionochloa-defracta,3.5mm,,,,,,,200mm,250mm; 4mm; 4mm; 750x1.3mm,5.5mm,4.5mm; 2mm,1mm,1mm,8mm,,,,,,3.5mm,,,,3.5mm,3.5mm,,
chionochloa-flavescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
chionochloa-flavicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
chionochloa-juncea,3.5mm,,,,,,,200mm,150mm; 4mm; 700x1mm,5.5mm,4mm; 2.5mm,0.5mm,0.5mm,6mm,,,,,,2mm,,,,2mm,2mm,,
chionochloa-lanea,3.5mm,,,,,,,100mm,150mm; 4mm; 4mm; 450x2mm,5mm,6mm,1mm,1mm,6mm,,,,,,1.5mm,,,,4mm,4mm,,
chionochloa-macra,,,,,,,,,,,,,,,,,,,,,,,,,,,
chionochloa-nivifera,2.5mm,,,,,,,60-100mm,30-100mm; 300x2mm; 3-5mm,3-6mm,2-3.5mm; 1.5mm,1.0mm; 0.6mm,0.75mm,3.5-5.5mm,,,,,,2.0-2.5mm,,,,2.5mm,2.5mm,,
chionochloa-oreophila,2.5mm,,,,,,10mm,60mm,50mm; 3mm; 150x2mm,4.5mm,4.5mm; 2.5mm,0.6mm,0.7mm,5.5mm,,,,,,2mm,,,,3mm,3mm,,
chionochloa-ovata,3mm,,,,,,,100mm,100mm; 2mm; 250x5mm,8mm,7mm; 5mm,1mm,1mm,9mm,,,,,,3.25mm,,,,2.5mm,2.5mm,,
chionochloa-pallens,,,,,,,,,,,,,,,,,,,,,,,,,,,
chionochloa-rigida,,,,,,,,,,,,,,,,,,,,,,,,,,,
chionochloa-rubra,,,,,,,,,,,,,,,,,,,,,,,,,,,
chionochloa-spiralis,4mm,,,,,,,120mm,500x1mm; 2mm; 3mm,5mm,4.5mm,0.75mm,0.75mm,6mm,,,,,,,,,,4.5mm,4.5mm,,
chionochloa-teretifolia,4.5mm,,,,,,,150mm,150mm; 2.5mm; 400x1mm; 1.5mm; 0.5mm,6mm,6mm; 3mm,2mm,1mm,8mm,,,,,,2.5mm,,,,2.5mm,2.5mm,,
chionochloa-vireta,3.5mm,,,,,,,130mm,100mm; 3.5mm; 300x2.5mm,,4mm,,1mm,7mm,,,,,,2mm,,,,2mm,2mm,,
connorochloa-tenuis,,,,,,,,10-15cm,5-7cm; 10-15cmx2mm,,,,,,,,,,,4.5-5mm,,,,,,,
deschampsia-cespitosa,,,,,,,,,1-4mm,,,,,,,,,,,,,,20-50cm; 1m,,,,
